district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Palghar,P99000005595,Anant Nagar,Anant Developers,401201,"('19.369526199999999','72.786551799999998')",On-Going Project,07/16/2021,05/15/2023,,Mixed (Plots & Buildings),1775.0,174.74,519.26,10/20/2018,,,7.0,1.0,0.0,7.0,0.0,14.0,7.0,7.0,7.0,0.0,0.0,0.0
Palghar,P99000008857,CRD GARDENIA BUNGALOWS,Dr Chandrashekhar Raghunath Dound,401404,"('19.770356000000000','72.880011999999994')",On-Going Project,12/31/2022,12/30/2023,,Mixed (Plots & Buildings),13438.0,1447.0,5533.7,12/19/2023,1.0,,41.0,0.0,0.0,23.0,0.0,50.0,0.0,41.0,0.0,0.0,0.0,0.0
Palghar,P99000011854,Navkar City Phase-III Part-2,Navkar Estate and Homes Pvt. Ltd.,401208,"('19.359470999999999','72.857145000000003')",On-Going Project,12/31/2018,12/30/2021,12/31/2023,Others,1240.06,0.0,1332.07,02/27/2024,,,36.0,32.0,0.0,1.0,0.0,8.0,1.0,6.0,1.0,0.0,0.0,0.0
Palghar,P99000011641,Navkar City Phase III Part 1,Navkar Estate and Homes Pvt Ltd,401208,"('19.373481999999999','72.886993000000004')",On-Going Project,12/31/2018,06/30/2021,11/30/2022,Others,4466.94,0.0,6625.6,09/30/2023,,,282.0,180.0,0.0,1.0,0.0,7.0,1.0,19.0,1.0,0.0,0.0,0.0
Palghar,P99000008974,C VINAYAK INDUSTRIAL ESTATE,VINAYAK CONSTRUCTION,401404,"('19.693558100000001','72.765518400000005')",On-Going Project,12/31/2018,12/31/2018,12/30/2022,Industrial,4173.0,0.0,2001.07,03/26/2022,,,30.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Palghar,P99000012100,GOKULDHAM ZONE 2,RAJ SHREE NIRMAN BUIDERS PVT LTD,401501,,On-Going Project,10/31/2018,10/31/2018,,Others,2788.24,405.0,2357.59,12/12/2019,,,67.0,30.0,0.0,3.0,0.0,15.0,3.0,0.0,3.0,0.0,0.0,0.0
Palghar,P99000012019,JUIE,VERSATILEREALTORSPRIVATELIMITED,401209,"('19.405448600000000','72.830869199999995')",On-Going Project,12/31/2019,12/31/2019,12/30/2021,Residential,945.57,897.78,4488.88,04/13/2023,,,135.0,111.0,0.0,1.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0
Palghar,P99000012236,"RELIABLE TOWNSHIP / RT- A, B WING",RELIABLE REALTORS,401208,"('19.391570999999999','72.857631999999995')",On-Going Project,12/19/2017,12/31/2017,12/31/2018,Residential,1023.8,625.8,1507.86,11/11/2019,,,60.0,47.0,0.0,2.0,0.0,10.0,0.0,26.0,0.0,0.0,0.0,0.0
Palghar,P99000005105,SUGANDHI VIHAR PHASE I,SAI SUGANDH BUILDERS & DEVELOPERS,401501,"('19.779752899999998','72.792837899999995')",On-Going Project,12/31/2018,12/31/2019,06/30/2024,Mixed (Plots & Buildings),3650.54,2908.48,2012.83,03/20/2022,,,92.0,43.0,0.0,2.0,0.0,8.0,1.0,60.0,1.0,0.0,0.0,0.0
Palghar,P99000007915,YASHVANT SRUSTI,INSTACROISSANCE LIMITED,401501,"('19.792964000000001','72.758419000000003')",On-Going Project,12/31/2022,07/31/2024,,Residential,27873.95,3000.0,44706.04,11/01/2023,,,1183.0,1091.0,0.0,6.0,0.0,5.0,1.0,168.0,1.0,0.0,0.0,0.0
