district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking
Nagpur,P50500053404,VRINDAVAN ESTATE PHASE II,BVN CONSTRO VENTURES LLP,440034,,New Project,10/05/2028,,,Residential,4114.75,0.0,13740.62,10/06/2023,,,176.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,1.0,222.0,0.0
Nagpur,P50500053637,MAHALAXMI NAGAR 33 SECTOR - 1,ARA HABITATS LLP,441108,,New Project,11/25/2028,,,Plots,9888.76,1577.34,0.0,02/28/2024,,,,,12.0,2056.69,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500055223,BITCOIN CITY,SHANKARRAO GANPATRAO PATIL AND COMPANY,444101,,New Project,03/31/2026,,,Plots,22400.0,2240.0,12082.53,11/20/2023,,,,,9.0,1519.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500055276,MAHENDRA REGALIA,MALHAR MAHENDRA TAYWADE,440022,"('21.123888890000000','79.071666670000000')",New Project,11/30/2025,,,Residential,743.0,0.0,2662.53,03/07/2024,,,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,1.0,0.0,36.0
Nagpur,P50500053949,YASHWANT HEIGHTS,Yashwant Sahkari Pat Sanstha Maryadit,440036,,New Project,12/31/2027,,,Residential,2242.56,0.0,8694.4,12/04/2023,,,120.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,10.0,1.0,0.0,120.0
Nagpur,P50500053713,Fortune Ekdant,Sachin Hemant Bajaj,441108,,New Project,12/31/2026,,,Plots,9652.52,968.83,0.0,10/31/2023,,,,,5.0,766.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500054252,Vinayak Tower,Goverdhan Infraventures (Mumbai) LLP,440024,,New Project,03/31/2027,,,Commercial,1561.29,0.0,6649.7,12/04/2023,,,56.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,7.0,0.0,0.0,315.0
Nagpur,P50500053343,Sat Sukrut Apartment,Shekhar Gajanan Pusadkar,441203,,New Project,12/31/2026,,,Others,1119.22,0.0,2531.86,10/19/2023,,,22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,44.0,16.0
Nagpur,P50500054641,ROKADE NAGARI-2,M/s Shubhlaxmi Developers,441204,,New Project,12/31/2028,,,Plots,9961.97,957.11,0.0,12/28/2023,,,,,17.0,737.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,P50500054314,Future City II,Eknath Wasudeo Bhanare,440026,,New Project,09/26/2027,,,Plots,12263.7,1226.72,0.0,01/11/2024,,,,,16.0,2902.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
