district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Nashik,P51600006032,bhagyasiddhi heights,BHAGYA DEVELOPER,422003,"('18.830552300000000','73.284644500000000')",On-Going Project,12/15/2019,12/15/2019,,Others,755.0,0.0,1528.5,04/02/2021,,,29.0,4.0,0.0,1.0,0.0,7.0,1.0,12.0,7.0,0.0,0.0,0.0
Nashik,P51600011620,VIJAYSHRUSHTI,JAY DEVELOPERS,422008,"('17.000099200000000','73.290541300000000')",On-Going Project,12/31/2018,12/31/2018,06/30/2023,Residential,3255.76,325.6,2941.49,04/18/2023,,,190.0,87.0,0.0,3.0,0.0,13.0,3.0,9.0,57.0,0.0,0.0,0.0
Nashik,P51600005309,ATHASHREE,SAPALE AGASHE ASSOCIATES,422002,"('18.503532700000000','73.761538600000000')",On-Going Project,12/31/2017,12/31/2017,,Others,437.5,0.0,590.7,02/28/2020,,,16.0,7.0,1.0,1.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0
Nashik,P51600003519,SHREE SANKET GARDEN,SHREE SANKET DEVELOPERS,423103,"('20.585565393571020','74.501694405557260')",On-Going Project,10/30/2021,01/30/2022,08/15/2023,Residential,3631.67,0.0,5635.52,12/06/2023,,,100.0,47.0,0.0,3.0,0.0,15.0,3.0,22.0,0.0,0.0,0.0,0.0
Nashik,P51600005560,BHAGYA HARI ROW BUNGLOW,BHAGYA DEVELOPER,422004,"('21.148460200000000','79.095572300000000')",On-Going Project,07/18/2018,07/18/2018,,Residential,559.0,0.0,559.0,09/24/2019,,,7.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0,2.0,0.0,0.0,0.0
Nashik,P51600009875,Laxmi Avenue phase 2,Laxmi Consructions,422009,"('18.460226900000000','73.933571500000000')",New Project,01/07/2021,,,Residential,350.92,0.0,99.69,01/29/2022,,,2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,10.0,0.0,0.0,0.0
Nashik,P51600010733,Sudarshan Apartment,Bobhate Builders & Developers Pvt. Ltd.,422003,"('19.034104000000000','73.331077600000000')",New Project,12/30/2021,,,Residential,721.03,0.0,1794.66,01/03/2022,,,28.0,0.0,0.0,1.0,0.0,8.0,1.0,56.0,74.0,0.0,0.0,0.0
Nashik,P51600007240,Param Heights,Bharat Lalji Mawani,422003,"('19.997453300000000','73.789802300000020')",On-Going Project,02/08/2019,02/08/2019,,Residential,763.5,0.0,1533.5,04/17/2023,,,27.0,15.0,0.0,1.0,0.0,7.0,1.0,4.0,1.0,0.0,0.0,0.0
Nashik,P51600005270,GREEN ACRE,FARAZ ASLAM MULLA,422401,"('20.601235800000000','79.867110800000000')",On-Going Project,05/31/2017,12/31/2017,,Residential,4162.05,416.2,2076.77,10/31/2020,,,22.0,4.0,0.0,22.0,0.0,0.0,22.0,0.0,21.0,0.0,0.0,0.0
Nashik,P51600008067,SHARVARI HEIGHTS,ATHARVA VISHWA BUILDCON,422012,"('20.601235800000000','79.867110800000000')",On-Going Project,12/31/2017,03/31/2019,,Others,601.64,0.0,841.27,08/06/2021,,,40.0,33.0,0.0,1.0,0.0,5.0,1.0,36.0,1.0,0.0,0.0,0.0
