district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Thane,P51700049157,RIDDHI SIDDHI PARK,M/S SHREE GANESH DEVELOPERS,421311,"('19.268784449525906','73.086064066057960')",New Project,05/25/2026,,,Others,2890.0,0.0,0.0,03/07/2024,,,119.0,40.0,0.0,2.0,0.0,14.0,20.0,122.0,2.0,0.0,0.0,0.0
Thane,P51700047245,Lodha Villa Royale Palava,MACROTECH DEVELOPERS LIMITED,421204,,New Project,09/30/2025,,,Plots,81878.0,6665.0,39588.0,01/29/2024,6.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,210.6,0.0
Thane,P51700046891,EKDANT POOJA CHSL,LANDMARK INFRA,421503,,New Project,07/31/2026,,,Residential,2620.39,2620.39,7127.45,02/03/2024,,,105.0,77.0,0.0,3.0,0.0,24.0,3.0,45.0,0.0,0.0,0.0,0.0
Thane,P51700048013,OM SAI SANKUL - BUILDING TYPE F,Om Sai Constructions,421605,,New Project,05/10/2025,,,Residential,1565.46,0.0,1565.46,11/02/2022,,,28.0,0.0,0.0,1.0,0.0,7.0,1.0,28.0,1.0,0.0,0.0,0.0
Thane,P51700047536,THARWANI MILLENNIUM ARCADE,THARWANI REALTORS,421503,,New Project,04/30/2024,,,Commercial,1056.31,0.0,1630.81,02/27/2024,,,34.0,0.0,2.0,2.0,0.0,6.0,0.0,49.0,14.0,0.0,0.0,0.0
Thane,P51700046758,AARADHYA PARKWOOD 1,MAN VASTUCON LLP,401107,"('19.262270000000000','72.877750000000000')",New Project,12/31/2028,,,Residential,1237.93,737.06,39960.08,03/12/2024,,,546.0,341.0,2.0,2.0,4.0,72.0,2.0,0.0,382.0,0.0,0.0,0.0
Thane,P51700046993,New Vaishali CHS Ltd.,Joshi & Yash Developers LLP,400602,,New Project,12/31/2024,,,Residential,550.74,0.0,2081.5,01/31/2024,,,16.0,6.0,0.0,1.0,0.0,8.0,1.0,0.0,17.0,0.0,0.0,0.0
Thane,P51700046757,Ananta Residency,Suresh Lacchiram Agarwal,410206,,New Project,06/30/2027,,,Residential,1564.07,0.0,1443.28,01/25/2024,,,81.0,28.0,0.0,1.0,1.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0
Thane,P51700047050,Balaji Residency 2,Om Swayambhu Siddhivinayak Builders and Developers,421201,,New Project,12/31/2027,,,Residential,9880.0,0.0,15758.11,02/19/2024,1.0,,206.0,113.0,0.0,1.0,0.0,30.0,1.0,130.0,98.0,0.0,0.0,0.0
Thane,P51700047643,DELTA ICON,SHREENATHJI ORGANISERS PVT LTD,400708,,New Project,07/31/2027,,,Others,1560.0,457.8,2340.0,03/15/2024,,,55.0,21.0,0.0,1.0,9.0,29.0,2.0,0.0,112.0,0.0,0.0,0.0
Thane,P51700046957,WINSTONE BUILDING TYPE - E,PNK Construction,401107,,New Project,12/31/2026,,,Residential,8400.0,1311.42,10204.97,03/01/2024,,,115.0,13.0,0.0,1.0,0.0,30.0,1.0,96.0,36.0,0.0,0.0,0.0
Thane,P51700046683,THE HARMONY,THE IMPRESSIONS,421202,,New Project,12/31/2025,,,Residential,2133.47,0.0,4756.03,03/02/2024,,,63.0,1.0,0.0,1.0,0.0,18.0,1.0,0.0,111.0,0.0,0.0,0.0
Thane,P51700046697,URBAN GRANDEUR BLDG-2,CLLARO ENTERPRISES LLP,401107,"('19.218330700000000','72.978089700000000')",New Project,06/30/2027,,,Residential,5016.91,506.81,8965.93,01/20/2024,1.0,,208.0,112.0,1.0,1.0,5.0,29.0,0.0,0.0,189.0,0.0,0.0,0.0
Thane,P51700046455,Sneha Sadan Co-operative Housing Society,NIRMITEE BUILDERS AND DEVELOPERS,400602,,New Project,02/28/2025,,,Residential,418.06,0.0,1432.83,01/14/2024,,,11.0,0.0,0.0,1.0,0.0,7.0,1.0,8.0,26.0,0.0,0.0,0.0
Thane,P51700049613,ARIN,GORAKSH BUILDERS,421201,"('19.209400600000000','73.093948300000000')",New Project,10/31/2024,,,Residential,472.2,0.0,1775.04,01/29/2024,,,29.0,0.0,1.0,1.0,0.0,6.0,1.0,0.0,45.0,0.0,0.0,0.0
