district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Jalgaon,P49900018986,Town Square Heights,Town Square Builders,425001,"('21.016403936973322','75.537269101852420')",New Project,12/30/2022,,,Others,515.5,0.0,548.37,01/13/2023,,,18.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalgaon,P49900019229,VASTUNAGAR,M/S. CHANDRA CONSTRUCTIONS,425002,"('20.984446100000000','75.536450699999930')",New Project,12/30/2024,,,Residential,4680.39,437.0,4630.94,03/14/2024,,,26.0,0.0,2.0,12.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,0.0
Jalgaon,P49900019018,Sukruti DreamHomes,Arihant Developers,425001,"('21.016430000000000','75.520300000000000')",New Project,04/30/2023,,,Residential,6502.43,653.17,11702.6,06/16/2021,,,210.0,109.0,0.0,2.0,0.0,28.0,4.0,20.0,94.0,0.0,0.0,0.0
Jalgaon,P49900019384,SAIRANG HEIGHTS,VASTUCONSTRUCTIONS,425002,"('20.975528266451850','75.549161720628040')",New Project,12/30/2022,,,Residential,715.4,0.0,1206.4,03/08/2021,,,20.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0
Jalgaon,P49900019598,SAI SHRI SONA PLAZA,N & L ASSOCIATES,425001,,New Project,01/30/2023,,,Others,318.6,0.0,637.14,05/08/2021,,,22.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalgaon,P49900020492,ORANGE CITY,M/S DBP DEVELOPERS,425107,,New Project,08/30/2019,,,Residential,1249.43,0.0,1461.19,12/19/2023,,,18.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
Jalgaon,P49900020068,VISHWA-KARMA SANKUL,PADMAVATI LANDMARK,425001,,New Project,02/27/2023,,,Others,947.52,0.0,2169.12,04/06/2023,,,72.0,0.0,1.0,1.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0
Jalgaon,P49900020737,THE RUDRA SQUARE,SUNIL RAMNARAYAN MANTRI,425001,,New Project,06/30/2023,,,Others,585.0,0.0,918.45,11/24/2020,,,28.0,0.0,1.0,1.0,0.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0
Jalgaon,P49900020433,SHUBHAMANGAL,SHUBHAMANGAL DEVELOPERS,425001,"('21.020710212594327','75.582760700746920')",New Project,12/30/2022,,,Others,917.12,0.0,1279.16,02/17/2023,,,44.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
Jalgaon,P49900021316,DWARKAI,MURLIDHAR RAJARAM MAHAJAN,425001,"('21.007657800000000','75.562603900000000')",New Project,12/30/2025,,,Commercial,511.5,511.5,781.27,04/08/2023,,,23.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalgaon,P49900020416,Manas Aaradhya Apartment,Manas Developers,425001,,New Project,12/30/2023,,,Residential,588.98,0.0,977.2,07/07/2023,,,24.0,10.0,0.0,1.0,0.0,7.0,1.0,0.0,20.0,0.0,0.0,0.0
Jalgaon,P49900020742,MEGH MALHAR PHASE 2,SOHAM DEVELOPERS,425201,,New Project,12/30/2023,,,Others,3290.09,0.0,2885.5,03/10/2024,,,56.0,45.0,0.0,0.0,0.0,10.0,2.0,0.0,48.0,0.0,0.0,0.0
Jalgaon,P49900020957,J K PARADISE,J K PARADISE,425001,,New Project,03/30/2023,,,Residential,1199.29,0.0,2155.3,03/31/2023,1.0,,21.0,21.0,0.0,1.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0
Jalgaon,P49900000069,Vasukamal Samruddhi,Vasukamal & Associates,425001,"('21.023487000000000','75.564887000000000')",New Project,12/31/2018,,01/31/2020,Others,2188.56,98.5,5033.0,09/02/2021,,1.0,151.0,111.0,0.0,1.0,0.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0
Jalgaon,P49900000128,RADHA RAMAN APARTMENT,SARVESHWAR ASSOCIATES,425001,"('21.024766000000000','75.557430000000000')",On-Going Project,03/31/2019,03/31/2019,,Residential,496.36,0.0,612.72,06/07/2018,,,19.0,7.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0
Jalgaon,P49900000226,Sukruti Pinnacle,Arihant Developers,425001,"('21.018191000000000','75.538750000000000')",On-Going Project,06/30/2018,06/30/2018,,Residential,5880.65,715.26,9144.68,07/17/2018,,,126.0,58.0,0.0,4.0,0.0,28.0,4.0,12.0,90.0,0.0,0.0,0.0
Jalgaon,P49900000250,PANDIT CORNER,SAGAR PANDIT TADE,425001,"('21.049485800000000','79.043318000000000')",On-Going Project,07/30/2018,07/30/2018,,Others,582.5,0.0,1080.25,04/06/2023,,,26.0,25.0,1.0,1.0,0.0,5.0,1.0,6.0,12.0,0.0,0.0,0.0
Jalgaon,P49900000600,SIDDIVINAYAK HEIGHTS,MINAKSHI CONSTRUCTIONS,425001,"('19.864021500000000','75.263948000000000')",On-Going Project,03/31/2021,12/31/2020,,Others,891.85,891.85,1775.78,09/21/2021,,,40.0,6.0,0.0,1.0,0.0,6.0,2.0,13.0,2.0,0.0,0.0,0.0
Jalgaon,P49900009627,Vasukamal Solitaire,Narendra Ziprulal Kabra,425001,"('20.993324000000000','75.578272000000000')",On-Going Project,05/16/2018,11/13/2018,,Residential,698.7,0.0,975.86,02/20/2020,,,9.0,7.0,0.0,1.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0
Jalgaon,P49900002142,PRAKASH ESTATES,M/S REALTY SHAPERS,425001,"('21.008838000000000','75.584865000000000')",On-Going Project,07/14/2018,12/14/2018,,Others,551.3,0.0,769.0,09/19/2018,,,23.0,4.0,2.0,4.0,0.0,10.0,4.0,0.0,3.0,0.0,0.0,0.0
Jalgaon,P49900001540,OM PREMIA,OMBUILDCORP,425002,"('20.414789400000000','78.136488900000000')",New Project,11/01/2021,,,Residential,278.71,0.0,475.75,09/02/2021,,,10.0,0.0,0.0,1.0,0.0,6.0,1.0,2.0,8.0,0.0,0.0,0.0
Jalgaon,P49900013222,SHRI KRISHNA HEIGHTS,JAY SHREE KRISHNA DREAM HOMES BUILDERS AND DEVELOPERS,425001,"('18.502275000000000','73.858497000000000')",On-Going Project,03/03/2016,12/31/2017,,Residential,434.62,608.47,576.06,12/26/2019,,,14.0,2.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0
Jalgaon,P49900001386,PPRL Mera Ghar - Building L1,Parakh Plexus Realty Ltd.,425001,"('19.890263400000000','75.323544000000000')",On-Going Project,04/30/2018,12/31/2018,,Residential,976.14,0.0,1824.97,02/25/2020,,,56.0,22.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
Jalgaon,P49900001591,PPRL Mera Ghar - Building M1,Parakh Plexus Realty Ltd.,425001,"('18.948367000000000','72.825936000000000')",On-Going Project,04/30/2018,12/31/2018,,Residential,976.14,0.0,2070.31,02/25/2020,,,35.0,5.0,0.0,1.0,0.0,8.0,1.0,20.0,15.0,0.0,0.0,0.0
Jalgaon,P49900007463,Pankaj Residency,Pankaj  Borole,425107,"('21.033393700000000','78.954279000000000')",On-Going Project,09/30/2020,06/30/2020,,Residential,1967.43,0.0,2753.96,03/28/2022,,,80.0,3.0,0.0,2.0,0.0,8.0,0.0,10.0,0.0,0.0,0.0,0.0
Jalgaon,P49900001384,Rishika Park,Pankaj  Borole,425107,"('19.848934000000000','75.309148300000000')",On-Going Project,09/30/2020,06/30/2020,,Others,624.75,0.0,812.13,12/11/2021,,,22.0,6.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalgaon,P49900001778,PPRL Mera Ghar - Building E2,Parakh Plexus Realty Ltd.,425001,"('19.231344800000000','72.863529900000000')",On-Going Project,07/31/2019,12/31/2019,,Residential,1009.95,0.0,1263.2,03/04/2020,,,,,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
Jalgaon,P49900002963,Sanika Tower,Sucheta Jitendra Kolhe,425001,"('18.559668800000000','73.912642300000000')",On-Going Project,03/31/2021,12/31/2020,,Others,305.59,0.0,476.93,12/27/2021,,,16.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0
Jalgaon,P49900002506,MANAS ARADHANA APARTMENT,Manas Developers,425001,"('21.011974700000000','75.545137900000000')",On-Going Project,01/05/2017,12/31/2017,,Residential,987.45,0.0,1234.3,10/25/2017,,,20.0,9.0,0.0,1.0,0.0,4.0,1.0,0.0,16.0,0.0,0.0,0.0
Jalgaon,P49900008246,GULMOHAR PARK,VPBHANDARICONSTRUCTIONSPVTLTD,425001,"('18.533598900000000','73.830426900000000')",On-Going Project,03/31/2023,06/30/2023,,Others,2428.1,0.0,3954.58,03/09/2024,,,90.0,7.0,0.0,3.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalgaon,P49900008721,SANKALP RESIDENCY,RAVINDRA SUPADU PAWAR,425201,"('19.123928500000000','72.909440700000000')",On-Going Project,03/31/2018,07/31/2018,,Residential,442.0,0.0,613.86,01/22/2019,,,12.0,4.0,0.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0
Jalgaon,P49900006545,PUSHPCHHAYA RIVER VIEW,RAKA SURANA ASSOCIATES,425201,"('18.655393800000000','72.867081900000000')",On-Going Project,06/30/2018,11/17/2019,,Others,2200.0,314.87,2572.81,05/28/2021,,,59.0,27.0,0.0,3.0,0.0,10.0,0.0,1.0,19.0,0.0,0.0,0.0
Jalgaon,P49900003376,ZENIYA ARCADE,RAJESH DHANJI ZALTE,425001,"('21.111700200000000','79.072979300000000')",On-Going Project,05/13/2019,02/29/2020,,Residential,716.97,0.0,1012.16,03/18/2020,,,8.0,0.0,1.0,1.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0
Jalgaon,P49900006767,SHREE N T MUNDADA PARK - BLG NO 1,SHREE N T MUNDADA PARK,425401,"('18.500610100000000','73.757399100000000')",On-Going Project,12/31/2019,12/31/2019,,Others,2478.83,0.0,3233.43,04/07/2023,,,63.0,22.0,0.0,1.0,1.0,8.0,1.0,36.0,0.0,0.0,0.0,0.0
Jalgaon,P49900009039,SHREE N T MUNDADA PARK - BLG NO. 3,SHREE N T MUNDADA PARK,425401,"('19.240330500000000','73.130539500000000')",On-Going Project,03/31/2023,06/30/2023,,Residential,2261.45,0.0,2949.87,04/11/2023,,,49.0,0.0,0.0,1.0,1.0,8.0,1.0,34.0,0.0,0.0,0.0,0.0
